7. COUNTY,12. LATITUDE,13. LONGITUDE
ANDERSON,31.73931,-95.65732
ANDERSON,32.021609,-95.524845
ANDERSON,31.65488,-95.75928
ANDREWS,32.440944,-103.056305
ANGELINA,31.34232,-94.76338
ANGELINA,31.195946,-94.787435
ANGELINA,31.350798,-94.768079
ANGELINA,31.195946,-94.787435
ANGELINA,31.337261,-94.733508
ATASCOSA,28.704455,-98.477218
AUSTIN,29.82548,-96.13807
BASTROP,30.331253,-97.336655
BASTROP,30.2214,-97.31316
BASTROP,30.11094,-97.38302
BASTROP,30.192898,-97.307453
BASTROP,30.208682,-97.45797
BASTROP,30.32903,-97.29207
BEE,28.38944,-97.74088
BEE,28.38584,-97.739089
BELL,31.105764,-97.503197
BELL,31.125278,-97.784166
BELL,31.053095,-97.441693
BELL,31.087042,-97.790165
BEXAR,29.371428,-98.691704
BEXAR,29.5298,-98.2789
BEXAR,29.43862,-98.41714
BEXAR,29.377429,-98.568782
BEXAR,29.55928,-98.59467
BEXAR,29.44982,-98.38122
BEXAR,29.43885,-98.405323
BEXAR,29.48649,-98.39268
BEXAR,29.374146,-98.622241
BEXAR,29.436587,-98.457488
BEXAR,29.32759,-98.46577
BEXAR,29.42238,-98.3768
BEXAR,29.442136,-98.436898
BEXAR,29.602291,-98.404995
BEXAR,29.616619,-98.355877
BEXAR,29.7337,-98.6455
BEXAR,29.308764,-98.321969
BEXAR,29.2725,-98.348333
BEXAR,29.61214,-98.375075
BEXAR,29.6067,-98.28317
BEXAR,29.477144,-98.653298
BEXAR,29.515053,-98.318635
BEXAR,29.688568,-98.562424
BEXAR,29.545042,-98.27095
BEXAR,29.503424,-98.642994
BEXAR,29.55811,-98.4245
BEXAR,29.4263,-98.3928
BEXAR,29.454107,-98.403093
BEXAR,29.545278,-98.421111
BOSQUE,31.714128,-97.592207
BOWIE,33.45156,-94.26369
BOWIE,33.450707,-94.134356
BOWIE,33.467499,-94.38694
BOWIE,33.378095,-94.092065
BOWIE,33.422,-94.07202
BOWIE,33.433226,-94.279098
BRAZORIA,29.57603,-95.29485
BRAZORIA,29.072278,-95.744703
BRAZORIA,29.29067,-95.12534
BRAZORIA,29.070847,-95.750363
BRAZORIA,29.368373,-95.441468
BRAZORIA,28.980147,-95.342272
BRAZORIA,29.474387,-95.369994
BRAZORIA,28.980147,-95.342272
BRAZORIA,28.956655,-95.338289
BRAZORIA,29.076182,-95.745529
BROWN,31.671177,-98.996513
BROWN,31.65922,-98.9579
BROWN,31.74364,-99.0221
BROWN,31.78603,-99.09353
BROWN,31.68258,-98.98728
BURNET,30.6479,-98.2536
BURNET,30.74857,-98.2365
CALDWELL,30.036915,-97.677862
CALHOUN,28.652039,-96.557649
CALHOUN,28.69759,-96.542101
CAMERON,25.96925,-97.37677
CAMERON,25.91556,-97.47499
CAMERON,25.9496,-97.46916
CAMERON,26.118657,-97.709236
CAMERON,26.190505,-97.351777
CAMP,33.055134,-94.83983
CARSON,35.307037,-101.559419
CASS,33.2644,-94.069639
CHAMBERS,29.796,-94.90729
CHAMBERS,29.727799,-94.91653
CHAMBERS,29.7575,-94.903056
CHAMBERS,29.882759,-94.93318
CHEROKEE,31.94958,-95.27575
CHEROKEE,32.013899,-95.280164
CLAY,33.71576,-98.096444
COLLIN,33.12189,-96.74398
COLLIN,33.122659,-96.741724
COLLIN,32.98162,-96.32338
COLLIN,33.007754,-96.5542
COLLIN,33.21685,-96.64827
COLLIN,33.293663,-96.789366
COLLIN,33.22146,-96.60737
COLLIN,33.170619,-96.625417
COLLIN,33.230516,-96.818833
COLLIN,33.006234,-96.673972
COLLIN,33.00383,-96.5612
COLLIN,32.99699,-96.663168
COLLIN,33.310199,-96.559305
COLLIN,33.229268,-96.821519
COLLIN,33.15837,-96.49959
COLLIN,33.176063,-96.610341
COLLIN,33.18093,-96.60464
COLLIN,33.010512,-96.458794
COLLIN,33.00171,-96.55429
COLLIN,33.232295,-96.818808
COLLIN,33.20401,-96.59733
COLLIN,33.014225,-96.693954
COLLIN,33.308467,-96.559825
COLORADO,29.723638,-96.414725
COLORADO,29.679968,-96.526518
COMAL,29.803771,-98.039969
COMAL,29.681944,-98.181944
COMAL,29.672028,-98.175083
DALLAS,32.83741,-96.93535
DALLAS,32.7702,-96.9031
DALLAS,32.77078,-96.60806
DALLAS,32.913938,-96.619234
DALLAS,32.73876,-96.60518
DALLAS,32.94114,-96.89052
DALLAS,32.87268,-96.91317
DALLAS,32.921956,-96.637803
DALLAS,32.916636,-96.905374
DALLAS,32.98115,-96.83665
DALLAS,32.779344,-96.882933
DALLAS,32.81644,-96.96782
DALLAS,32.905556,-96.666389
DALLAS,32.89296,-96.9067
DALLAS,32.74459,-96.80834
DALLAS,32.765186,-96.960101
DALLAS,32.89439,-96.66951
DALLAS,32.822,-97.00147
DALLAS,32.72083,-97.02677
DALLAS,32.81643,-96.91402
DALLAS,32.549042,-96.975765
DALLAS,32.764992,-96.575147
DALLAS,32.662545,-96.616758
DALLAS,32.61864,-96.83138
DALLAS,32.90337,-96.69015
DALLAS,32.81569,-96.93434
DALLAS,32.81615,-96.89992
DALLAS,32.587854,-96.723042
DALLAS,32.76507,-96.9601
DALLAS,32.77401,-96.87111
DALLAS,32.62415,-96.8339
DALLAS,32.90338,-96.58153
DALLAS,32.783564,-96.781415
DALLAS,32.75643,-96.78315
DALLAS,32.609787,-96.639265
DALLAS,32.88506,-96.91886
DALLAS,32.5869,-96.7524
DALLAS,32.91445,-96.61947
DALLAS,32.77884,-96.88443
DALLAS,32.864409,-96.90587
DALLAS,32.933261,-96.753508
DALLAS,32.78518,-97.03714
DALLAS,32.89279,-96.88862
DALLAS,32.9559,-96.91881
DALLAS,32.761231,-96.793227
DALLAS,32.93311,-96.7537
DALLAS,32.84016,-96.89856
DALLAS,32.97317,-96.7032
DALLAS,32.837815,-96.917029
DALLAS,32.75544,-96.77991
DALLAS,32.77428,-96.67545
DALLAS,32.96064,-96.71575
DALLAS,32.882019,-97.002394
DALLAS,32.69779,-96.73937
DENTON,32.99842,-96.97956
DENTON,33.188675,-97.135707
DENTON,33.204575,-97.166912
DENTON,33.017417,-97.241846
DENTON,33.08361,-96.853
DENTON,33.040088,-97.302449
