Income (Median family income) for Texas by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2019-2023"
Sorted by Value

County,FIPS,Value (Dollars),Rank within US (of 3139 counties)
"Texas",48000,"91,752","31 of 52"
"United States",00000,"96,922","N/A"
"Dimmit County",48127,"35,246","3,136"
"Zavala County",48507,"38,734","3,131"
"Brooks County",48047,"40,523","3,125"
"Zapata County",48505,"40,678","3,124"
"Starr County",48427,"44,075","3,112"
"Jim Hogg County",48247,"47,072","3,100"
"Edwards County",48137,"49,464","3,076"
"San Augustine County",48405,"50,014","3,068"
"Foard County",48155,"50,417","3,064"
"Presidio County",48377,"53,021","3,028"
"Cochran County",48079,"53,828","3,013"
"Willacy County",48489,"53,833","3,012"
"Hall County",48191,"54,000","3,011"
"Reeves County",48389,"55,316","2,986"
"Hudspeth County",48229,"55,952","2,975"
"Deaf Smith County",48117,"56,354","2,968"
"Terry County",48445,"56,811","2,955"
"McMullen County",48311,"57,188","2,944"
"La Salle County",48283,"57,598","2,933"
"Hidalgo County",48215,"57,989","2,922"
"Shelby County",48419,"57,991","2,921"
"Red River County",48387,"58,531","2,907"
"Cameron County",48061,"58,672","2,904"
"King County",48269,"59,250","2,886"
"Nolan County",48353,"59,552","2,877"
"Swisher County",48437,"60,250","2,855"
"Marion County",48315,"60,500","2,844"
"Newton County",48351,"60,704","2,835"
"Jim Wells County",48249,"60,878","2,829"
"Culberson County",48109,"61,029","2,820"
"Baylor County",48023,"61,089","2,817"
"Real County",48385,"61,188","2,811"
"Maverick County",48323,"61,359","2,801"
"Floyd County",48153,"61,726","2,781"
"Hale County",48189,"62,107","2,758"
"Knox County",48275,"62,604","2,739"
"Briscoe County",48045,"63,125","2,717"
"Duval County",48131,"63,165","2,714"
"Borden County",48033,"63,750","2,678"
"Terrell County",48443,"63,906","2,672"
"Morris County",48343,"63,929","2,668"
"Potter County",48375,"64,237","2,656"
"Coleman County",48083,"64,351","2,649"
"Jasper County",48241,"64,386","2,648"
"Frio County",48163,"64,438","2,645"
"Camp County",48063,"64,505","2,643"
"Castro County",48069,"64,795","2,635"
"Uvalde County",48463,"64,830","2,632"
"Collingsworth County",48087,"64,948","2,621"
"San Saba County",48411,"65,062","2,616"
"El Paso County",48141,"65,744","2,590"
"Cass County",48067,"65,857","2,585"
"Cherokee County",48073,"66,120","2,569"
"Moore County",48341,"66,430","2,557"
"Limestone County",48293,"66,689","2,547"
"Gray County",48179,"67,128","2,517"
"Nacogdoches County",48347,"67,218","2,511"
"Refugio County",48391,"67,316","2,504"
"Hockley County",48219,"67,500","2,489"
"Webb County",48479,"67,929","2,473"
"Dawson County",48115,"67,958","2,471"
"Polk County",48373,"68,025","2,466"
"Crosby County",48107,"68,068","2,459"
"Dickens County",48125,"68,194","2,452"
"Eastland County",48133,"68,329","2,446"
"Stephens County",48429,"68,860","2,417"
"Sabine County",48403,"68,998","2,412"
"Brewster County",48043,"69,295","2,397"
"Val Verde County",48465,"69,392","2,395"
"Hardeman County",48197,"69,444","2,387"
"Kleberg County",48273,"69,837","2,367"
"Angelina County",48005,"70,020","2,357"
"Motley County",48345,"70,156","2,349"
"Trinity County",48455,"70,391","2,337"
"Runnels County",48399,"70,641","2,323"
"Sutton County",48435,"70,720","2,315"
"Falls County",48145,"70,846","2,305"
"Matagorda County",48321,"70,918","2,298"
"Jones County",48253,"70,951","2,297"
"Brown County",48049,"70,993","2,292"
"Titus County",48449,"71,038","2,289"
"Live Oak County",48297,"71,066","2,286"
"Haskell County",48207,"71,182","2,276"
"Anderson County",48001,"71,192","2,275"
"Tyler County",48457,"71,200","2,274"
"Coke County",48081,"71,208","2,273"
"DeWitt County",48123,"71,219","2,271"
"Garza County",48169,"71,250","2,263"
"Walker County",48471,"71,342","2,258"
"Gonzales County",48177,"71,391","2,253"
"Lamb County",48279,"71,478","2,248"
"Karnes County",48255,"71,879","2,214"
"Kinney County",48271,"72,236","2,194"
"Concho County",48095,"72,391","2,181"
"Wheeler County",48483,"72,500","2,167"
"Bowie County",48037,"72,976","2,138"
"Aransas County",48007,"73,212","2,120"
"Houston County",48225,"73,477","2,105"
"San Jacinto County",48407,"73,595","2,098"
"Ward County",48475,"73,765","2,077"
"Upton County",48461,"74,000","2,054"
"Jackson County",48239,"74,570","2,019"
"Throckmorton County",48447,"74,688","2,013"
"Bee County",48025,"74,774","2,009"
"Liberty County",48291,"74,812","2,004"
"Jack County",48237,"75,000","1,988"
"Lamar County",48277,"75,060","1,985"
"Jefferson County",48245,"75,087","1,983"
"Crane County",48103,"75,192","1,975"
"Navarro County",48349,"75,198","1,974"
"Wilbarger County",48487,"75,298","1,969"
"Leon County",48289,"75,328","1,967"
"McCulloch County",48307,"75,333","1,965"
"Jeff Davis County",48243,"75,375","1,958"
"Lynn County",48305,"75,469","1,955"
"Lee County",48287,"75,625","1,945"
"Palo Pinto County",48363,"75,739","1,936"
"Upshur County",48459,"75,792","1,932"
"Fisher County",48151,"75,809","1,930"
