observation_date,PCPI48003
1969-01-01,4011
1970-01-01,3887
1971-01-01,4356
1972-01-01,3892
1973-01-01,4793
1974-01-01,5562
1975-01-01,6203
1976-01-01,6947
1977-01-01,7931
1978-01-01,8382
1979-01-01,9011
1980-01-01,9788
1981-01-01,12404
1982-01-01,13477
1983-01-01,13395
1984-01-01,14082
1985-01-01,13802
1986-01-01,12309
1987-01-01,12679
1988-01-01,12631
1989-01-01,13751
1990-01-01,14534
1991-01-01,14526
1992-01-01,15300
1993-01-01,16103
1994-01-01,16484
1995-01-01,16746
1996-01-01,17283
1997-01-01,18571
1998-01-01,18392
1999-01-01,18618
2000-01-01,20664
2001-01-01,23318
2002-01-01,23124
2003-01-01,25091
2004-01-01,26680
2005-01-01,29387
2006-01-01,33131
2007-01-01,35213
2008-01-01,40513
2009-01-01,34301
2010-01-01,36910
2011-01-01,43277
2012-01-01,48595
2013-01-01,50751
2014-01-01,54503
2015-01-01,45554
2016-01-01,40602
2017-01-01,45613
2018-01-01,51430
2019-01-01,52819
2020-01-01,48552
2021-01-01,51441
2022-01-01,54413
2023-01-01,57526
